Circuit,Qubits,CZ,BL_dist,noVF2_dist,D_change(%),BL_fid,noVF2_fid,F_change(%),BL_time(s),noVF2_time(s),Speedup
qft_10,10,105,96.8,211.8888339017855,+118.9%,0.584997,0.5752150886149721,-1.7%,0.44,0.01865315437316895,23.6x
qft_12,12,150,139.2,357.7434795043094,+157.0%,0.464142,0.4480973302901404,-3.5%,0.11,0.02187776565551758,5.0x
qft_14,14,203,216,466.64770049768,+116.0%,0.351269,0.3369603335191244,-4.1%,0.57,0.03666353225708008,15.5x
qft_16,16,264,324.5,618.3009514793421,+90.5%,0.254046,0.2399950455817584,-5.5%,1.1,0.04006075859069824,27.5x
qft_18,18,333,380,744.6323723837462,+96.0%,0.177447,0.1639657438845938,-7.6%,1.14,0.0488440990447998,23.3x
qft_20,20,410,473.7,1081.536908945159,+128.3%,0.117761,0.1039616472566723,-11.7%,2.12,0.07720756530761719,27.5x
qft_24,24,588,821.2,2040.328989447494,+148.5%,0.044775,0.03431933375130387,-23.4%,3.54,0.09663009643554688,36.6x
qv_10,10,50,34.4,95.8788348955914,+178.7%,0.775456,0.7699349417999232,-0.7%,0,0.01571869850158691,0.0x
qv_12,12,72,109.4,131.8788348955914,+20.5%,0.688334,0.6850339712433167,-0.5%,0.69,0.0144951343536377,47.6x
qv_14,14,98,183.2,303.2851358341167,+65.5%,0.598146,0.5858885927592532,-2.0%,0.84,0.02552199363708496,32.9x
qv_16,16,128,197,411.5490132541067,+108.9%,0.511489,0.4939556334284572,-3.4%,1.65,0.02566742897033691,64.3x
qv_18,18,162,377.9,454.0466980538958,+20.1%,0.420328,0.412043872427961,-2.0%,3.16,0.03190732002258301,99.0x
qv_20,20,200,485.1,726.9122681269707,+49.8%,0.341108,0.3249461464436045,-4.7%,2.67,0.04349231719970703,61.4x
random_10,10,78,36.9,189.2906314694453,+413.0%,0.673869,0.6605386585802859,-2.0%,0.07,0.01510858535766602,4.6x
random_12,12,94,110.9,198.9313733720356,+79.4%,0.616825,0.6070340795110603,-1.6%,0.54,0.0221865177154541,24.3x
random_14,14,100,164.4,363.2124258457523,+120.9%,0.593251,0.5721440670613103,-3.6%,1,0.01966166496276855,50.9x
random_16,16,118,212,484.6492956316014,+128.6%,0.537178,0.510280250071464,-5.0%,0.67,0.02618527412414551,25.6x
random_18,18,138,310.8,559.1334884266283,+79.9%,0.479359,0.4552981282114409,-5.0%,2.3,0.04085445404052734,56.3x
random_20,20,161,344.1,631.3275773984226,+83.5%,0.421121,0.3977498411147012,-5.5%,1.81,0.03470540046691895,52.2x
random_24,24,175,TIMEOUT,900.9761750324451,,TIMEOUT,0.3490946808328991,,-,0.06046581268310547,
star_10,10,45,0,116.698484809835,,0.798023,0.7825744303122362,-1.9%,0,0.01387953758239746,0.0x
star_12,12,66,215.7,181.1543289325508,-16.0%,0.699253,0.6938083340001897,-0.8%,1.1,0.01794791221618652,61.3x
star_14,14,91,416.2,393.3430934159803,-5.5%,0.600703,0.5876244146836314,-2.2%,1.77,0.02594327926635742,68.2x
star_16,16,120,674,790.0405642800968,+17.2%,0.499912,0.4734888012458073,-5.3%,3.26,0.04239296913146973,76.9x
star_18,18,153,691.9,697.961367983136,+0.9%,0.417061,0.3951799899803957,-5.2%,3.91,0.05237245559692383,74.7x
star_20,20,190,1029.8,781.9751595704582,-24.1%,0.324643,0.3126238442521863,-3.7%,5.76,0.0570368766784668,101.0x
star_24,24,276,1818.9,1439.502190362586,-20.9%,0.174746,0.1678668168781632,-3.9%,14.26,0.1228644847869873,116.1x
